Name,Sex,Event,Equipment,Age,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Tested,AgeClass,Country,Glossbrenner,Federation,Date,MeetCountry,MeetState,MeetName
José A. Sanromán Peña,M,SBD,Raw,37.5,SNR,80.6,83,145,155,160,,160,105,-110,110,,110,185,190,200,,200,470,16,319.37,319.37,Yes,35-39,,308.46,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Guillermo Torres Cerrato,M,SBD,Raw,28.5,SNR,114.95,120,160,170,180,,180,-120,122.5,-125,,122.5,-220,230,245,,245,547.5,17,318.16,318.16,Yes,24-34,,304.22,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Sergio Mencía Rodríguez,M,SBD,Raw,31.5,SNR,83.25,93,145,-155,160,,160,92.5,-97.5,97.5,,97.5,205,217.5,-225,,217.5,475,18,316.5,316.5,Yes,24-34,,305.5,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Daniel Morales del Río,M,SBD,Raw,28.5,SNR,79.1,83,130,140,145,,145,100,-105,105,,105,182.5,195,205,,205,455,19,312.87,312.87,Yes,24-34,,302.3,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Jairo Jiménez Palomeque,M,SBD,Raw,30.5,SNR,72.5,74,-135,135,-140,,135,-105,105,112.5,,112.5,165,180,-190,,180,427.5,20,312.07,312.07,Yes,24-34,,302.11,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Omar Fakir,M,SBD,Raw,23.5,SNR,86.6,93,140,150,160,,160,120,125,-127.5,,125,170,-180,190,,190,475,21,309.47,309.47,Yes,Unknown,,298.48,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Dylan Tallana Rodríguez,M,SBD,Raw,17.5,SBJ,70.95,74,130,140,-150,,140,85,90,-95,,90,157.5,165,175,,175,405,22,300.42,324.45,Yes,Unknown,,290.99,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Carlos Gálvez Jarén,M,SBD,Raw,25.5,SNR,63.4,66,100,110,117.5,,117.5,80,-85,-90,,80,140,152.5,-160,,152.5,350,23,284.27,284.27,Yes,24-34,,276.34,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Santiago Castro Sebelón,M,SBD,Raw,32.5,SNR,75,83,125,132.5,-142.5,,132.5,97.5,102.5,-105,,102.5,145,147.5,157.5,,157.5,392.5,24,279.68,279.68,Yes,24-34,,270.54,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Rubén García Herradón,M,SBD,Raw,25.5,SNR,70.55,74,125,132.5,135,,135,-75,75,-80,,75,140,147.5,155,,155,365,25,271.9,271.9,Yes,24-34,,263.41,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Luis Granados Del Val,M,SBD,Raw,56.5,M2,102.85,105,125,135,145,,145,120,-125,-127.5,,120,-170,180,-190,,180,445,26,267.9,333.81,Yes,55-59,,257.25,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Mario Frdo. Ampuero Morisaki,M,SBD,Raw,32.5,SNR,72.45,74,110,120,-125,,120,-77.5,77.5,80,,80,145,152.5,157.5,,157.5,357.5,27,261.1,261.1,Yes,24-34,,252.77,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Asier Menaoum Baigorri,M,SBD,Raw,18.5,JUN,63.95,66,100,-107.5,-107.5,,100,-67.5,67.5,72.5,,72.5,125,135,142.5,,142.5,315,28,253.96,269.19,Yes,18-19,,246.79,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Ventura Mateos Pérez,M,SBD,Raw,18.5,JUN,82.25,83,85,95,102.5,,102.5,75,82.5,-85,,82.5,110,122.5,-130,,122.5,307.5,29,206.37,218.75,Yes,18-19,,199.24,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Gonzalo García Romero,M,B,Raw,20.5,JUN,73.9,74,,,,,,-120,125,-130,,125,,,,,,125,1,90,92.7,Yes,20-23,,87.09,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Rodrigo M. Rodríguez Piñeiro,M,B,Raw,60.5,M3,97.1,105,,,,,,-120,120,130,,130,,,,,,130,2,80.09,107.32,Yes,60-64,,77.04,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Diego Barrido Perez,M,B,Raw,18.5,JUN,62.25,66,,,,,,-107.5,-107.5,-115,,,,,,,,,DQ,,,Yes,18-19,,,AEP,27/01/2018,Spain,,Campeonato de la Comunidad de Madrid
Gemma Nerea Noval García Muñoz,F,SBD,Raw,17.5,SBJ,55.05,57,95,107.5,-112.5,,107.5,50,57.5,-60,,57.5,115,-122.5,122.5,,122.5,287.5,1,342.84,370.27,Yes,Unknown,,303.37,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Mara Moreno Gómez,F,SBD,Raw,37.5,SNR,50.1,52,65,70,75,,75,40,-45,-45,,40,100,115,-120,,115,230,2,295.02,295.02,Yes,35-39,,261.94,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Merche Rivera Rodríguez,F,SBD,Raw,36.5,SNR,56.05,57,70,-75,80,,80,50,52.5,55,,55,100,-115,-117.5,,100,235,3,276.31,276.31,Yes,35-39,,244.4,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Eduard Moreno Curto,M,SBD,Raw,34.5,SNR,103.4,105,240,247.5,252.5,,252.5,150,155,160,,160,280,290,295,,295,707.5,1,425.1,425.1,Yes,Unknown,Spain,408.13,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Aritz Adrián Giraldo,M,SBD,Raw,21.5,JUN,73.45,74,210,220,,,220,110,120,-125,,120,230,240,-250,,240,580,2,419.43,427.82,Yes,20-23,,405.91,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Alejandro Fernández Fernández,M,SBD,Raw,24.5,SNR,71.8,74,190,200,202.5,,202.5,120,125,127.5,,127.5,220,230,240,,240,570,3,419.07,419.07,Yes,24-34,,405.79,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Víctor Loza Hernández,M,SBD,Raw,19.5,JUN,79.9,83,210,225,-235,,225,135,142.5,-147.5,,142.5,150,190,222.5,,222.5,590,4,403.11,419.23,Yes,Unknown,,389.41,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Mateo Coloma Gómez,M,SBD,Raw,23.5,SNR,109.15,120,-230,230,260,,260,125,135,145,,145,260,-300,,,260,665,5,392.29,392.29,Yes,Unknown,,375.9,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Adrian García Cañadas,M,SBD,Raw,30.5,SNR,87.45,93,215,225,230,,230,140,145,-150,,145,230,-245,-245,,230,605,6,392.08,392.08,Yes,24-34,,378.07,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Antonio Macià Pajarès,M,SBD,Raw,51.5,M2,81.9,83,197.5,205,210,,210,110,112.5,115,,115,245,257.5,-262.5,,257.5,582.5,7,391.94,449.56,Yes,50-54,Spain,378.44,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Óscar Aguilera Gairal,M,SBD,Raw,25.5,SNR,106.7,120,220,232.5,240,,240,142.5,-147.5,,,142.5,235,245,-255,,245,627.5,8,372.9,372.9,Yes,24-34,,357.63,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Ángel García Fornos,M,SBD,Raw,21.5,JUN,82.05,83,175,185,192.5,,192.5,125,132.5,-137.5,,132.5,200,215,222.5,,222.5,547.5,9,367.98,375.34,Yes,20-23,,355.29,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Marcos Sayago Ginard,M,SBD,Raw,22.5,JUN,87.45,93,170,180,190,,190,112.5,-120,120,,120,220,230,-240,,230,540,10,349.96,353.46,Yes,20-23,,337.45,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Aarón Algarra Cuenca,M,SBD,Raw,22.5,JUN,81.05,83,-190,190,-200,,190,115,-120,-120,,115,195,205,,,205,510,11,345.36,348.81,Yes,20-23,,333.53,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Robert Trull Viñolas,M,SBD,Raw,19.5,JUN,104,105,175,185,192.5,,192.5,115,120,125,,125,215,-220,,,215,532.5,12,319.28,332.05,Yes,Unknown,,306.47,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Mario Pérez Sexer,M,SBD,Raw,16.5,SBJ,71.75,74,140,150,152.5,,152.5,90,95,100,,100,140,150,160,,160,412.5,13,303.43,342.88,Yes,16-17,,293.82,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Alex Carlos Alonso Betancour,M,SBD,Raw,48.5,M1,57.3,59,110,120,-130,,120,72.5,75,77.5,,77.5,135,,,,135,332.5,14,296.05,324.77,Yes,45-49,,289.13,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Daniel Villacampa Estallo,M,SBD,Raw,20.5,JUN,102.2,105,230,240,-250,,240,140,-150,-150,,140,-280,-280,,,,,DQ,,,Yes,20-23,,,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Beatriz Cano Torres,F,B,Raw,56.5,M2,46.75,47,,,,,,50,55,-57.5,,55,,,,,,55,1,74.25,92.52,Yes,55-59,Spain,66.22,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Jordana De Haro Cano,F,B,Raw,30.5,SNR,51.5,52,,,,,,65,70,-72.5,,70,,,,,,70,1,87.92,87.92,Yes,24-34,Spain,77.96,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Maribel Cano Torres,F,B,Raw,48.5,M1,55.7,57,,,,,,60,62.5,65,,65,,,,,,65,1,76.8,84.25,Yes,45-49,Spain,67.94,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Virgili Torres Adrià,M,B,Raw,23.5,SNR,72.4,74,,,,,,135,140,142.5,,142.5,,,,,,142.5,1,104.13,104.13,Yes,Unknown,,100.81,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Iván Órtega Alba,M,B,Raw,25.5,SNR,82,83,,,,,,125,130,-140,,130,,,,,,130,1,87.41,87.41,Yes,24-34,,84.39,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Oriol Parteal Bellido,M,B,Raw,17.5,SBJ,79.9,83,,,,,,95,100,102.5,,102.5,,,,,,102.5,2,70.03,75.63,Yes,Unknown,,67.65,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Josep Camats Cabré,M,B,Raw,49.5,M2,92.25,93,,,,,,130,140,,,140,,,,,,140,1,88.29,98.26,Yes,Unknown,,85.03,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
David Figueras Cañadas,M,B,Raw,23.5,SNR,85.4,93,,,,,,130,135,-140,,135,,,,,,135,2,88.64,88.64,Yes,Unknown,,85.51,AEP,20/01/2018,Spain,,Open de Powerlifting de Cataluña
Mystique McLaughlin,F,BD,Raw,27,Open,67.77,75,,,,,,40.82,47.63,56.7,,56.7,90.72,108.86,115.67,,115.67,172.37,1,175.42,175.42,No,24-34,,154.74,APA,27/01/2018,USA,MA,Give Strength Push Pull
Nicole Park,F,BD,Raw,34,Submasters 33-39,74.39,75,,,,,,52.16,56.7,-61.23,,56.7,115.67,127.01,136.08,142.88,136.08,192.78,1,184.21,184.21,No,24-34,,162.09,APA,27/01/2018,USA,MA,Give Strength Push Pull
Julia Shelly,F,BD,Raw,16,Teen 16-17,61.51,67.5,,,,,,43.09,49.9,-56.7,,49.9,102.06,111.13,117.93,-122.47,117.93,167.83,1,183.56,207.42,No,16-17,,162.13,APA,27/01/2018,USA,MA,Give Strength Push Pull
Troy Boroli,M,BD,Raw,21,Police/Fire,84.82,90,,,,,,92.99,97.52,-104.33,,97.52,158.76,174.63,188.24,195.04,188.24,285.76,1,188.35,192.12,No,20-23,,181.74,APA,27/01/2018,USA,MA,Give Strength Push Pull
Jacob Huntley,M,BD,Raw,28,Military,114.67,125,,,,,,149.69,158.76,-165.56,,158.76,195.04,208.65,219.99,,219.99,378.75,1,220.24,220.24,No,24-34,,210.62,APA,27/01/2018,USA,MA,Give Strength Push Pull
Matthew Maupin,M,BD,Raw,30,Open,115.94,125,,,,,,-149.69,149.69,165.56,,165.56,195.04,217.72,254.01,,254.01,419.57,1,243.27,243.27,No,24-34,,232.53,APA,27/01/2018,USA,MA,Give Strength Push Pull
Jacob Huntley,M,BD,Raw,28,Open,114.67,125,,,,,,149.69,158.76,-165.56,,158.76,195.04,208.65,219.99,,219.99,378.75,2,220.24,220.24,No,24-34,,210.62,APA,27/01/2018,USA,MA,Give Strength Push Pull
Michael Carrick,M,BD,Raw,55,Masters 55-59,85.09,90,,,,,,117.93,124.74,129.27,,129.27,183.7,195.04,204.12,,204.12,333.39,1,219.35,268.71,No,55-59,,211.63,APA,27/01/2018,USA,MA,Give Strength Push Pull
Dominic Emery,M,BD,Raw,23,Juniors 20-23,59.24,60,,,,,,97.52,104.33,108.86,-113.4,108.86,183.7,199.58,-210.92,,199.58,308.44,1,266.16,266.16,No,20-23,,259.5,APA,27/01/2018,USA,MA,Give Strength Push Pull
Jim Farina,M,BD,Raw,52,Masters 50-54,130.45,140,,,,,,170.1,174.63,-181.44,,174.63,215.46,226.8,233.6,,233.6,408.23,1,230.75,268.82,No,50-54,,219.34,APA,27/01/2018,USA,MA,Give Strength Push Pull
Anthony Peterson,M,B,Single-ply,30,Open,135.99,140,,,,,,201.85,-226.8,-226.8,,201.85,,,,,,201.85,1,113.3,113.3,No,24-34,,107.48,APA,27/01/2018,USA,MA,Give Strength Push Pull
Minh Nguyen,M,B,Raw,32,Open,73.71,75,,,,,,147.42,158.76,-163.29,,158.76,,,,,,158.76,1,114.52,114.52,No,24-34,Australia,110.82,APA,27/01/2018,USA,MA,Give Strength Push Pull
Madison Shoebottom,F,SBD,Wraps,32,Open,73.84,75,124.74,136.08,-142.88,,136.08,74.84,81.65,86.18,,86.18,145.15,165.56,174.63,-181.44,174.63,396.89,1,381.05,381.05,No,24-34,,335.38,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Erin Schrier,F,SBD,Wraps,32,Open,86.91,90,124.74,131.54,136.08,,136.08,74.84,-79.38,-79.38,,74.84,136.08,145.15,-151.95,,145.15,356.07,1,312.39,312.39,No,24-34,,272.38,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Marie Reed,F,SBD,Wraps,17,Open,71.67,75,111.13,124.74,138.35,,138.35,47.63,52.16,-56.7,,52.16,129.27,142.88,-147.42,,142.88,333.39,1,326.4,352.51,Yes,16-17,,287.55,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Jennifer Brereton,F,SBD,Wraps,42,Open,71.67,75,65.77,-74.84,74.84,,74.84,47.63,49.9,52.16,,52.16,102.06,106.59,111.13,,111.13,238.14,2,233.15,237.81,Yes,40-44,,205.39,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Chasity Youngman,F,SBD,Wraps,44,Open,96.16,100,74.84,83.91,90.72,,90.72,52.16,56.7,-58.97,,56.7,102.06,106.59,113.4,,113.4,260.82,1,219.84,229.29,Yes,40-44,,189.76,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Danielle Brewer,F,SBD,Wraps,24,Open,104.78,90,124.74,136.08,142.88,,142.88,52.16,56.7,58.97,,58.97,142.88,149.69,156.49,,156.49,358.34,1,294.61,294.61,Yes,24-34,,251.55,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Jennifer Brereton,F,SBD,Wraps,42,Masters 40-44,71.67,75,65.77,-74.84,74.84,,74.84,47.63,49.9,52.16,,52.16,102.06,106.59,111.13,,111.13,238.14,1,233.15,237.81,Yes,40-44,,205.39,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Bailey Burks,F,SBD,Wraps,20,Juniors 20-23,41.82,44,43.09,54.43,58.97,,58.97,24.95,29.48,-36.29,,29.48,72.57,81.65,90.72,92.99,90.72,179.17,1,260.66,268.48,Yes,20-23,,235.31,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Marie Reed,F,SBD,Wraps,17,Teen 16-17,71.67,75,111.13,124.74,138.35,,138.35,47.63,52.16,-56.7,,52.16,129.27,142.88,-147.42,,142.88,333.39,1,326.4,352.51,Yes,16-17,,287.55,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Cody Brady,M,SBD,Wraps,25,Open,101.33,110,247.21,-265.35,265.35,,265.35,170.1,181.44,-192.78,,181.44,238.14,256.28,267.62,,267.62,714.41,1,432.53,432.53,No,24-34,,415.53,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Trey Francis,M,SBD,Wraps,25,Open,140.8,140,226.8,238.14,254.01,,254.01,199.58,-213.19,213.19,,213.19,249.48,258.55,,,258.55,725.75,1,405.21,405.21,No,24-34,,383.8,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Michael Buis,M,SBD,Wraps,26,Military,72.76,75,165.56,185.97,-197.31,,185.97,115.67,120.2,-127.01,,120.2,165.56,174.63,183.7,,183.7,489.88,1,356.68,356.68,Yes,24-34,,345.26,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Zack Farias,M,SBD,Wraps,30,Open,66.5,67.5,133.81,142.88,-149.69,,142.88,83.91,-88.45,-88.45,,83.91,167.83,181.44,185.97,,185.97,412.77,1,322.11,322.11,Yes,24-34,,312.59,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Carl Smith,M,SBD,Wraps,22,Open,71.67,75,181.44,-199.58,199.58,,199.58,136.08,145.15,-151.95,,145.15,183.7,199.58,-210.92,,199.58,544.31,1,400.72,404.73,Yes,20-23,,388.04,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Michael Buis,M,SBD,Wraps,26,Open,72.76,75,165.56,185.97,-197.31,,185.97,115.67,120.2,-127.01,,120.2,165.56,174.63,183.7,,183.7,489.88,2,356.68,356.68,Yes,24-34,,345.26,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Kristopher Freeman,M,SBD,Wraps,19,Open,81.28,82.5,181.44,-199.58,-199.58,,181.44,117.93,129.27,-133.81,,129.27,217.72,238.14,-249.48,,238.14,548.85,1,371.02,385.86,Yes,18-19,,358.29,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Mike Hill,M,SBD,Wraps,34,Open,114.31,125,183.7,199.58,215.46,,215.46,149.69,-158.76,,,149.69,219.99,231.33,240.4,,240.4,605.55,1,352.43,352.43,Yes,24-34,,337.07,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Jamie McDougal,M,SBD,Wraps,46,Masters 45-49,81.19,82.5,208.65,226.8,238.14,,238.14,174.63,183.7,190.51,,190.51,265.35,272.16,290.3,,290.3,718.94,1,486.33,519.4,Yes,45-49,USA,469.65,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Keith Thompson,M,SBD,Wraps,44,Masters 40-44,88.36,90,147.42,170.1,-192.78,,170.1,113.4,127.01,-136.08,,127.01,204.12,226.8,-238.14,,226.8,523.9,1,337.66,352.18,Yes,40-44,UK,325.52,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Mike Hill,M,SBD,Wraps,34,Submasters 33-39,114.31,125,183.7,199.58,215.46,,215.46,149.69,-158.76,,,149.69,219.99,231.33,240.4,,240.4,605.55,1,352.43,352.43,Yes,24-34,,337.07,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Carl Smith,M,SBD,Wraps,22,Open,71.67,75,181.44,-199.58,199.58,,199.58,136.08,145.15,-151.95,,145.15,183.7,199.58,-210.92,,199.58,544.31,1,400.72,404.73,Yes,20-23,,388.04,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Chad Tucker,M,SBD,Wraps,21,Open,73.84,75,158.76,170.1,181.44,,181.44,102.06,111.13,-122.47,,111.13,199.58,215.46,-226.8,,215.46,508.02,2,365.99,373.31,Yes,20-23,USA,354.15,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Kristopher Freeman,M,SBD,Wraps,19,Teen 18-19,81.28,82.5,181.44,-199.58,-199.58,,181.44,117.93,129.27,-133.81,,129.27,217.72,238.14,-249.48,,238.14,548.85,1,371.02,385.86,Yes,18-19,,358.29,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Andrew Moore,M,SBD,Wraps,19,Teen 18-19,89.81,90,199.58,-213.19,-213.19,,199.58,127.01,140.61,-145.15,,140.61,208.65,219.99,-229.06,,219.99,560.19,1,358.01,372.33,Yes,18-19,,345.02,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Lucas McDougal,M,SBD,Wraps,13,Teen 13-15,58.97,60,-52.16,52.16,61.23,,61.23,45.36,54.43,-58.97,,54.43,88.45,-104.33,113.4,,113.4,229.06,1,198.5,254.08,Yes,13-15,,193.57,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Chad Tucker,M,SBD,Wraps,21,Police/Fire,73.84,75,158.76,170.1,181.44,,181.44,102.06,111.13,-122.47,,111.13,199.58,215.46,-226.8,,215.46,508.02,1,365.99,373.31,Yes,20-23,USA,354.15,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
Eugene Davis,M,BD,Raw,52,Masters 50-54,92.53,100,,,,,,124.74,136.08,147.42,-185.97,147.42,124.74,142.88,158.76,,158.76,306.17,1,192.8,224.61,No,50-54,,185.68,APA,20/01/2018,USA,AR,Arkansas Open Raw Championships
